,SEASON,DATE,HOME/AWAY,TEAM,PTS,TEAM_OPP,PTS_OPP,WIN/LOSS,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_OPP,FGA_OPP,FG_PCT_OPP,FG3_OPP,FG3A_OPP,FG3_PCT_OPP,FT_OPP,FTA_OPP,FT_PCT_OPP,ORB_OPP,DRB_OPP,TRB_OPP,AST_OPP,STL_OPP,BLK_OPP,TOV_OPP,PF_OPP
0,2023,2022-12-01,AWAY,DAL,125,DET,131,LOSS,46,86,.535,19,46,.413,14,29,.483,4,26,30,25,8,7,13,24,51,94,.543,15,35,.429,14,24,.583,13,39,52,29,9,0,13,26
0,2023,2022-12-01,HOME,DET,131,DAL,125,WIN,51,94,.543,15,35,.429,14,24,.583,13,39,52,29,9,0,13,26,46,86,.535,19,46,.413,14,29,.483,4,26,30,25,8,7,13,24
0,2023,2022-12-02,AWAY,WAS,116,CHO,117,LOSS,39,86,.453,12,33,.364,26,35,.743,18,38,56,23,3,9,14,23,40,95,.421,12,29,.414,25,31,.806,19,26,45,25,6,3,4,24
0,2023,2022-12-02,HOME,CHO,117,WAS,116,WIN,40,95,.421,12,29,.414,25,31,.806,19,26,45,25,6,3,4,24,39,86,.453,12,33,.364,26,35,.743,18,38,56,23,3,9,14,23
0,2023,2022-12-02,AWAY,DEN,109,ATL,117,LOSS,45,85,.529,12,32,.375,7,13,.538,9,24,33,31,8,0,16,12,49,88,.557,10,28,.357,9,14,.643,12,31,43,24,7,3,12,14
0,2023,2022-12-02,HOME,ATL,117,DEN,109,WIN,49,88,.557,10,28,.357,9,14,.643,12,31,43,24,7,3,12,14,45,85,.529,12,32,.375,7,13,.538,9,24,33,31,8,0,16,12
0,2023,2022-12-02,AWAY,MIA,120,BOS,116,WIN,48,101,.475,11,35,.314,13,18,.722,12,38,50,19,11,3,17,24,40,87,.460,15,45,.333,21,28,.750,7,41,48,26,6,2,20,18
0,2023,2022-12-02,HOME,BOS,116,MIA,120,LOSS,40,87,.460,15,45,.333,21,28,.750,7,41,48,26,6,2,20,18,48,101,.475,11,35,.314,13,18,.722,12,38,50,19,11,3,17,24
0,2023,2022-12-02,AWAY,TOR,105,BRK,114,LOSS,38,87,.437,7,24,.292,22,30,.733,11,32,43,16,7,2,14,19,44,82,.537,11,32,.344,15,22,.682,7,34,41,27,7,5,18,27
0,2023,2022-12-02,HOME,BRK,114,TOR,105,WIN,44,82,.537,11,32,.344,15,22,.682,7,34,41,27,7,5,18,27,38,87,.437,7,24,.292,22,30,.733,11,32,43,16,7,2,14,19
