,SEASON,DATE,HOME/AWAY,TEAM,PTS,TEAM_OPP,PTS_OPP,WIN/LOSS,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_OPP,FGA_OPP,FG_PCT_OPP,FG3_OPP,FG3A_OPP,FG3_PCT_OPP,FT_OPP,FTA_OPP,FT_PCT_OPP,ORB_OPP,DRB_OPP,TRB_OPP,AST_OPP,STL_OPP,BLK_OPP,TOV_OPP,PF_OPP
0,2022,2022-02-01,AWAY,NOP,111,DET,101,WIN,39,89,.438,8,28,.286,25,28,.893,16,30,46,24,8,5,17,17,41,84,.488,8,32,.250,11,14,.786,6,29,35,21,7,3,19,25
0,2022,2022-02-01,HOME,DET,101,NOP,111,LOSS,41,84,.488,8,32,.250,11,14,.786,6,29,35,21,7,3,19,25,39,89,.438,8,28,.286,25,28,.893,16,30,46,24,8,5,17,17
0,2022,2022-02-01,AWAY,WAS,98,MIL,112,LOSS,36,82,.439,12,35,.343,14,20,.700,7,33,40,22,4,5,12,16,46,92,.500,12,38,.316,8,9,.889,8,36,44,26,7,2,9,17
0,2022,2022-02-01,HOME,MIL,112,WAS,98,WIN,46,92,.500,12,38,.316,8,9,.889,8,36,44,26,7,2,9,17,36,82,.439,12,35,.343,14,20,.700,7,33,40,22,4,5,12,16
0,2022,2022-02-01,AWAY,MIA,106,TOR,110,LOSS,38,78,.487,8,30,.267,22,25,.880,10,28,38,26,8,1,17,25,39,81,.481,12,26,.462,20,29,.690,15,28,43,20,9,3,15,24
0,2022,2022-02-01,HOME,TOR,110,MIA,106,WIN,39,81,.481,12,26,.462,20,29,.690,15,28,43,20,9,3,15,24,38,78,.487,8,30,.267,22,25,.880,10,28,38,26,8,1,17,25
0,2022,2022-02-01,AWAY,ORL,115,CHI,126,LOSS,46,93,.495,14,39,.359,9,11,.818,3,33,36,33,7,4,9,18,46,90,.511,11,30,.367,23,29,.793,11,38,49,25,5,6,10,15
0,2022,2022-02-01,HOME,CHI,126,ORL,115,WIN,46,90,.511,11,30,.367,23,29,.793,11,38,49,25,5,6,10,15,46,93,.495,14,39,.359,9,11,.818,3,33,36,33,7,4,9,18
0,2022,2022-02-01,AWAY,DEN,115,MIN,130,LOSS,38,89,.427,14,44,.318,25,28,.893,10,36,46,27,7,4,12,17,46,93,.495,19,45,.422,19,25,.760,13,39,52,35,8,9,10,21
0,2022,2022-02-01,HOME,MIN,130,DEN,115,WIN,46,93,.495,19,45,.422,19,25,.760,13,39,52,35,8,9,10,21,38,89,.427,14,44,.318,25,28,.893,10,36,46,27,7,4,12,17
