,SEASON,DATE,HOME/AWAY,TEAM,PTS,TEAM_OPP,PTS_OPP,WIN/LOSS,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_OPP,FGA_OPP,FG_PCT_OPP,FG3_OPP,FG3A_OPP,FG3_PCT_OPP,FT_OPP,FTA_OPP,FT_PCT_OPP,ORB_OPP,DRB_OPP,TRB_OPP,AST_OPP,STL_OPP,BLK_OPP,TOV_OPP,PF_OPP
0,2024,2023-11-01,AWAY,POR,110,DET,101,WIN,38,81,.469,7,20,.350,27,33,.818,7,37,44,23,10,7,17,15,40,90,.444,11,29,.379,10,11,.909,6,32,38,24,12,4,18,31
0,2024,2023-11-01,HOME,DET,101,POR,110,LOSS,40,90,.444,11,29,.379,10,11,.909,6,32,38,24,12,4,18,31,38,81,.469,7,20,.350,27,33,.818,7,37,44,23,10,7,17,15
0,2024,2023-11-01,AWAY,MIL,111,TOR,130,LOSS,35,76,.461,13,34,.382,28,38,.737,7,22,29,19,9,2,12,17,51,91,.560,15,38,.395,13,14,.929,15,35,50,35,7,6,18,25
0,2024,2023-11-01,HOME,TOR,130,MIL,111,WIN,51,91,.560,15,38,.395,13,14,.929,15,35,50,35,7,6,18,25,35,76,.461,13,34,.382,28,38,.737,7,22,29,19,9,2,12,17
0,2024,2023-11-01,AWAY,WAS,121,ATL,130,LOSS,51,101,.505,10,40,.250,9,14,.643,6,29,35,32,14,3,11,25,46,92,.500,9,32,.281,29,32,.906,14,43,57,26,8,3,21,16
0,2024,2023-11-01,HOME,ATL,130,WAS,121,WIN,46,92,.500,9,32,.281,29,32,.906,14,43,57,26,8,3,21,16,51,101,.505,10,40,.250,9,14,.643,6,29,35,32,14,3,11,25
0,2024,2023-11-01,AWAY,IND,104,BOS,155,LOSS,46,101,.455,5,37,.135,7,12,.583,8,23,31,26,6,6,9,20,54,95,.568,20,35,.571,27,28,.964,11,46,57,27,5,2,13,19
0,2024,2023-11-01,HOME,BOS,155,IND,104,WIN,54,95,.568,20,35,.571,27,28,.964,11,46,57,27,5,2,13,19,46,101,.455,5,37,.135,7,12,.583,8,23,31,26,6,6,9,20
0,2024,2023-11-01,AWAY,BRK,109,MIA,105,WIN,37,82,.451,16,36,.444,19,26,.731,7,40,47,27,11,4,18,18,39,91,.429,13,38,.342,14,18,.778,11,35,46,22,10,5,18,20
0,2024,2023-11-01,HOME,MIA,105,BRK,109,LOSS,39,91,.429,13,38,.342,14,18,.778,11,35,46,22,10,5,18,20,37,82,.451,16,36,.444,19,26,.731,7,40,47,27,11,4,18,18
0,2024,2023-11-01,AWAY,CLE,95,NYK,89,WIN,32,74,.432,12,32,.375,19,20,.950,6,40,46,22,7,5,18,27,32,92,.348,5,30,.167,20,30,.667,16,34,50,18,10,3,14,16
0,2024,2023-11-01,HOME,NYK,89,CLE,95,LOSS,32,92,.348,5,30,.167,20,30,.667,16,34,50,18,10,3,14,16,32,74,.432,12,32,.375,19,20,.950,6,40,46,22,7,5,18,27
0,2024,2023-11-01,AWAY,NOP,110,OKC,106,WIN,40,102,.392,13,42,.310,17,29,.586,22,36,58,23,8,5,11,20,38,88,.432,7,34,.206,23,25,.920,6,43,49,23,6,5,15,24
0,2024,2023-11-01,HOME,OKC,106,NOP,110,LOSS,38,88,.432,7,34,.206,23,25,.920,6,43,49,23,6,5,15,24,40,102,.392,13,42,.310,17,29,.586,22,36,58,23,8,5,11,20
0,2024,2023-11-01,AWAY,CHO,119,HOU,128,LOSS,45,90,.500,11,27,.407,18,25,.720,15,29,44,21,9,8,16,19,44,84,.524,21,37,.568,19,23,.826,7,31,38,35,10,2,17,22
0,2024,2023-11-01,HOME,HOU,128,CHO,119,WIN,44,84,.524,21,37,.568,19,23,.826,7,31,38,35,10,2,17,22,45,90,.500,11,27,.407,18,25,.720,15,29,44,21,9,8,16,19
0,2024,2023-11-01,AWAY,DEN,89,MIN,110,LOSS,38,96,.396,6,33,.182,7,10,.700,12,31,43,23,6,10,16,22,38,83,.458,8,21,.381,26,27,.963,8,39,47,20,9,5,14,15
0,2024,2023-11-01,HOME,MIN,110,DEN,89,WIN,38,83,.458,8,21,.381,26,27,.963,8,39,47,20,9,5,14,15,38,96,.396,6,33,.182,7,10,.700,12,31,43,23,6,10,16,22
0,2024,2023-11-01,AWAY,CHI,105,DAL,114,LOSS,42,89,.472,11,33,.333,10,11,.909,12,31,43,19,10,3,13,23,37,81,.457,20,48,.417,20,28,.714,13,32,45,23,7,2,15,11
0,2024,2023-11-01,HOME,DAL,114,CHI,105,WIN,37,81,.457,20,48,.417,20,28,.714,13,32,45,23,7,2,15,11,42,89,.472,11,33,.333,10,11,.909,12,31,43,19,10,3,13,23
0,2024,2023-11-01,AWAY,MEM,109,UTA,133,LOSS,35,96,.365,14,54,.259,25,32,.781,14,28,42,25,12,7,16,22,47,87,.540,22,43,.512,17,24,.708,10,40,50,35,7,3,21,22
0,2024,2023-11-01,HOME,UTA,133,MEM,109,WIN,47,87,.540,22,43,.512,17,24,.708,10,40,50,35,7,3,21,22,35,96,.365,14,54,.259,25,32,.781,14,28,42,25,12,7,16,22
0,2024,2023-11-01,AWAY,SAC,101,GSW,102,LOSS,36,88,.409,11,35,.314,18,23,.783,14,34,48,24,8,4,15,17,39,81,.481,11,31,.355,13,15,.867,7,29,36,32,5,6,18,17
0,2024,2023-11-01,HOME,GSW,102,SAC,101,WIN,39,81,.481,11,31,.355,13,15,.867,7,29,36,32,5,6,18,17,36,88,.409,11,35,.314,18,23,.783,14,34,48,24,8,4,15,17
0,2024,2023-11-01,AWAY,LAC,125,LAL,130,LOSS,47,99,.475,14,34,.412,17,27,.630,12,34,46,22,12,1,13,31,46,90,.511,11,32,.344,27,36,.750,9,42,51,28,10,9,14,24
0,2024,2023-11-01,HOME,LAL,130,LAC,125,WIN,46,90,.511,11,32,.344,27,36,.750,9,42,51,28,10,9,14,24,47,99,.475,14,34,.412,17,27,.630,12,34,46,22,12,1,13,31
0,2024,2023-11-02,AWAY,TOR,99,PHI,114,LOSS,38,79,.481,10,28,.357,13,19,.684,9,32,41,30,4,3,19,20,42,92,.457,9,25,.360,21,25,.840,15,31,46,21,12,3,14,19
0,2024,2023-11-02,HOME,PHI,114,TOR,99,WIN,42,92,.457,9,25,.360,21,25,.840,15,31,46,21,12,3,14,19,38,79,.481,10,28,.357,13,19,.684,9,32,41,30,4,3,19,20
0,2024,2023-11-02,AWAY,DET,116,NOP,125,LOSS,41,94,.436,13,38,.342,21,26,.808,19,29,48,30,4,5,16,31,39,80,.488,14,32,.438,33,35,.943,7,29,36,27,5,7,12,18
0,2024,2023-11-02,HOME,NOP,125,DET,116,WIN,39,80,.488,14,32,.438,33,35,.943,7,29,36,27,5,7,12,18,41,94,.436,13,38,.342,21,26,.808,19,29,48,30,4,5,16,31
0,2024,2023-11-02,AWAY,ORL,115,UTA,113,WIN,39,85,.459,10,29,.345,27,36,.750,10,33,43,27,17,9,17,25,41,89,.461,12,33,.364,19,26,.731,13,35,48,27,9,7,20,27
0,2024,2023-11-02,HOME,UTA,113,ORL,115,LOSS,41,89,.461,12,33,.364,19,26,.731,13,35,48,27,9,7,20,27,39,85,.459,10,29,.345,27,36,.750,10,33,43,27,17,9,17,25
0,2024,2023-11-02,AWAY,SAS,132,PHO,121,WIN,51,98,.520,18,37,.486,12,13,.923,9,32,41,37,7,5,8,21,43,80,.538,16,32,.500,19,26,.731,5,29,34,26,5,4,14,15
0,2024,2023-11-02,HOME,PHO,121,SAS,132,LOSS,43,80,.538,16,32,.500,19,26,.731,5,29,34,26,5,4,14,15,51,98,.520,18,37,.486,12,13,.923,9,32,41,37,7,5,8,21
0,2024,2023-11-03,AWAY,CLE,116,IND,121,LOSS,44,84,.524,8,28,.286,20,25,.800,5,30,35,27,10,9,13,20,45,86,.523,15,31,.484,16,24,.667,7,33,40,28,7,5,19,18
0,2024,2023-11-03,HOME,IND,121,CLE,116,WIN,45,86,.523,15,31,.484,16,24,.667,7,33,40,28,7,5,19,18,44,84,.524,8,28,.286,20,25,.800,5,30,35,27,10,9,13,20
0,2024,2023-11-03,AWAY,NYK,105,MIL,110,LOSS,38,96,.396,10,39,.256,19,25,.760,16,40,56,18,6,1,11,22,35,82,.427,20,39,.513,20,28,.714,7,34,41,24,6,11,14,16
0,2024,2023-11-03,HOME,MIL,110,NYK,105,WIN,35,82,.427,20,39,.513,20,28,.714,7,34,41,24,6,11,14,16,38,96,.396,10,39,.256,19,25,.760,16,40,56,18,6,1,11,22
0,2024,2023-11-03,AWAY,BRK,109,CHI,107,WIN,44,96,.458,18,45,.400,3,5,.600,8,31,39,32,4,4,11,12,43,89,.483,11,28,.393,10,14,.714,9,33,42,21,4,4,10,13
0,2024,2023-11-03,HOME,CHI,107,BRK,109,LOSS,43,89,.483,11,28,.393,10,14,.714,9,33,42,21,4,4,10,13,44,96,.458,18,45,.400,3,5,.600,8,31,39,32,4,4,11,12
0,2024,2023-11-03,AWAY,WAS,114,MIA,121,LOSS,46,81,.568,13,28,.464,9,17,.529,4,26,30,33,7,4,20,18,48,80,.600,13,27,.481,12,14,.857,7,30,37,35,9,1,21,18
0,2024,2023-11-03,HOME,MIA,121,WAS,114,WIN,48,80,.600,13,27,.481,12,14,.857,7,30,37,35,9,1,21,18,46,81,.568,13,28,.464,9,17,.529,4,26,30,33,7,4,20,18
0,2024,2023-11-03,AWAY,GSW,141,OKC,139,WIN,49,92,.533,18,40,.450,25,30,.833,13,25,38,36,9,2,15,25,50,83,.602,15,29,.517,24,30,.800,7,25,32,26,3,1,19,20
