,SEASON,DATE,HOME/AWAY,TEAM,PTS,TEAM_OPP,PTS_OPP,WIN/LOSS,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_OPP,FGA_OPP,FG_PCT_OPP,FG3_OPP,FG3A_OPP,FG3_PCT_OPP,FT_OPP,FTA_OPP,FT_PCT_OPP,ORB_OPP,DRB_OPP,TRB_OPP,AST_OPP,STL_OPP,BLK_OPP,TOV_OPP,PF_OPP
0,2023,2023-05-01,AWAY,PHI,119,BOS,115,WIN,45,89,.506,17,38,.447,12,12,1.000,8,20,28,17,10,4,8,20,44,75,.587,10,26,.385,17,18,.944,8,30,38,26,3,4,16,10
0,2023,2023-05-01,HOME,BOS,115,PHI,119,LOSS,44,75,.587,10,26,.385,17,18,.944,8,30,38,26,3,4,16,10,45,89,.506,17,38,.447,12,12,1.000,8,20,28,17,10,4,8,20
0,2023,2023-05-01,AWAY,PHO,87,DEN,97,LOSS,38,95,.400,6,31,.194,5,5,1.000,11,28,39,23,2,4,10,25,36,76,.474,7,27,.259,18,21,.857,5,36,41,19,5,6,13,16
0,2023,2023-05-01,HOME,DEN,97,PHO,87,WIN,36,76,.474,7,27,.259,18,21,.857,5,36,41,19,5,6,13,16,38,95,.400,6,31,.194,5,5,1.000,11,28,39,23,2,4,10,25
0,2023,2023-05-02,AWAY,MIA,105,NYK,111,LOSS,38,85,.447,17,49,.347,12,17,.706,8,26,34,24,1,2,7,24,37,82,.451,16,40,.400,21,30,.700,11,39,50,23,4,2,11,20
0,2023,2023-05-02,HOME,NYK,111,MIA,105,WIN,37,82,.451,16,40,.400,21,30,.700,11,39,50,23,4,2,11,20,38,85,.447,17,49,.347,12,17,.706,8,26,34,24,1,2,7,24
0,2023,2023-05-02,AWAY,LAL,117,GSW,112,WIN,43,92,.467,6,25,.240,25,29,.862,13,40,53,24,4,10,8,12,43,106,.406,21,53,.396,5,6,.833,14,35,49,30,5,3,8,24
0,2023,2023-05-02,HOME,GSW,112,LAL,117,LOSS,43,106,.406,21,53,.396,5,6,.833,14,35,49,30,5,3,8,24,43,92,.467,6,25,.240,25,29,.862,13,40,53,24,4,10,8,12
0,2023,2023-05-03,AWAY,PHI,87,BOS,121,LOSS,31,79,.392,6,30,.200,19,23,.826,6,35,41,13,2,8,13,17,43,92,.467,20,51,.392,15,16,.938,8,38,46,26,6,8,7,17
0,2023,2023-05-03,HOME,BOS,121,PHI,87,WIN,43,92,.467,20,51,.392,15,16,.938,8,38,46,26,6,8,7,17,31,79,.392,6,30,.200,19,23,.826,6,35,41,13,2,8,13,17
0,2023,2023-05-04,AWAY,LAL,100,GSW,127,LOSS,40,94,.426,10,34,.294,10,17,.588,9,31,40,27,9,3,9,15,48,95,.505,21,42,.500,10,16,.625,13,42,55,38,2,3,16,23
0,2023,2023-05-04,HOME,GSW,127,LAL,100,WIN,48,95,.505,21,42,.500,10,16,.625,13,42,55,38,2,3,16,23,40,94,.426,10,34,.294,10,17,.588,9,31,40,27,9,3,9,15
0,2023,2023-05-05,AWAY,BOS,114,PHI,102,WIN,38,86,.442,16,45,.356,22,23,.957,9,36,45,25,9,7,12,23,31,78,.397,16,37,.432,24,27,.889,9,33,42,21,7,8,14,20
0,2023,2023-05-05,HOME,PHI,102,BOS,114,LOSS,31,78,.397,16,37,.432,24,27,.889,9,33,42,21,7,8,14,20,38,86,.442,16,45,.356,22,23,.957,9,36,45,25,9,7,12,23
