,SEASON,DATE,HOME/AWAY,TEAM,PTS,TEAM_OPP,PTS_OPP,WIN/LOSS,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_OPP,FGA_OPP,FG_PCT_OPP,FG3_OPP,FG3A_OPP,FG3_PCT_OPP,FT_OPP,FTA_OPP,FT_PCT_OPP,ORB_OPP,DRB_OPP,TRB_OPP,AST_OPP,STL_OPP,BLK_OPP,TOV_OPP,PF_OPP
0,2019,2019-01-01,AWAY,UTA,116,TOR,122,LOSS,42,97,.433,9,32,.281,23,29,.793,12,31,43,23,6,4,4,27,45,82,.549,7,20,.350,25,35,.714,5,40,45,18,4,6,10,21
0,2019,2019-01-01,HOME,TOR,122,UTA,116,WIN,45,82,.549,7,20,.350,25,35,.714,5,40,45,18,4,6,10,21,42,97,.433,9,32,.281,23,29,.793,12,31,43,23,6,4,4,27
0,2019,2019-01-01,AWAY,DET,98,MIL,121,LOSS,35,92,.380,12,33,.364,16,21,.762,14,29,43,23,7,2,14,26,47,79,.595,10,27,.370,17,26,.654,5,38,43,28,7,6,13,19
0,2019,2019-01-01,HOME,MIL,121,DET,98,WIN,47,79,.595,10,27,.370,17,26,.654,5,38,43,28,7,6,13,19,35,92,.380,12,33,.364,16,21,.762,14,29,43,23,7,2,14,26
0,2019,2019-01-01,AWAY,NYK,108,DEN,115,LOSS,42,93,.452,11,27,.407,13,18,.722,15,28,43,28,4,3,9,21,44,95,.463,12,34,.353,15,23,.652,16,37,53,36,7,6,9,19
0,2019,2019-01-01,HOME,DEN,115,NYK,108,WIN,44,95,.463,12,34,.353,15,23,.652,16,37,53,36,7,6,9,19,42,93,.452,11,27,.407,13,18,.722,15,28,43,28,4,3,9,21
0,2019,2019-01-01,AWAY,POR,113,SAC,108,WIN,39,90,.433,9,32,.281,26,30,.867,10,46,56,22,11,10,19,19,44,115,.383,11,33,.333,9,12,.750,14,39,53,24,13,4,13,23
0,2019,2019-01-01,HOME,SAC,108,POR,113,LOSS,44,115,.383,11,33,.333,9,12,.750,14,39,53,24,13,4,13,23,39,90,.433,9,32,.281,26,30,.867,10,46,56,22,11,10,19,19
0,2019,2019-01-01,AWAY,PHI,119,LAC,113,WIN,42,87,.483,12,26,.462,23,33,.697,17,38,55,25,7,7,21,28,42,91,.462,5,25,.200,24,34,.706,12,29,41,18,12,0,13,29
0,2019,2019-01-01,HOME,LAC,113,PHI,119,LOSS,42,91,.462,5,25,.200,24,34,.706,12,29,41,18,12,0,13,29,42,87,.483,12,26,.462,23,33,.697,17,38,55,25,7,7,21,28
