,SEASON,DATE,HOME/AWAY,TEAM,PTS,TEAM_OPP,PTS_OPP,WIN/LOSS,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_OPP,FGA_OPP,FG_PCT_OPP,FG3_OPP,FG3A_OPP,FG3_PCT_OPP,FT_OPP,FTA_OPP,FT_PCT_OPP,ORB_OPP,DRB_OPP,TRB_OPP,AST_OPP,STL_OPP,BLK_OPP,TOV_OPP,PF_OPP
0,2019,2018-11-01,AWAY,OKC,111,CHO,107,WIN,41,96,.427,8,37,.216,21,29,.724,14,35,49,20,12,9,10,21,38,93,.409,11,41,.268,20,22,.909,11,40,51,26,7,3,18,26
0,2019,2018-11-01,HOME,CHO,107,OKC,111,LOSS,38,93,.409,11,41,.268,20,22,.909,11,40,51,26,7,3,18,26,41,96,.427,8,37,.216,21,29,.724,14,35,49,20,12,9,10,21
0,2019,2018-11-01,AWAY,DEN,110,CLE,91,WIN,41,85,.482,10,26,.385,18,21,.857,14,30,44,22,8,7,12,18,34,83,.410,5,18,.278,18,19,.947,13,22,35,18,11,4,14,22
0,2019,2018-11-01,HOME,CLE,91,DEN,110,LOSS,34,83,.410,5,18,.278,18,19,.947,13,22,35,18,11,4,14,22,41,85,.482,10,26,.385,18,21,.857,14,30,44,22,8,7,12,18
0,2019,2018-11-01,AWAY,LAC,113,PHI,122,LOSS,38,86,.442,9,23,.391,28,33,.848,8,34,42,19,6,7,18,28,44,93,.473,13,27,.481,21,28,.750,10,33,43,29,7,7,16,30
0,2019,2018-11-01,HOME,PHI,122,LAC,113,WIN,44,93,.473,13,27,.481,21,28,.750,10,33,43,29,7,7,16,30,38,86,.442,9,23,.391,28,33,.848,8,34,42,19,6,7,18,28
0,2019,2018-11-01,AWAY,SAC,146,ATL,115,WIN,53,98,.541,14,35,.400,26,32,.813,10,36,46,38,14,3,14,29,42,87,.483,8,31,.258,23,34,.676,10,33,43,26,6,6,22,28
0,2019,2018-11-01,HOME,ATL,115,SAC,146,LOSS,42,87,.483,8,31,.258,23,34,.676,10,33,43,26,6,6,22,28,53,98,.541,14,35,.400,26,32,.813,10,36,46,38,14,3,14,29
0,2019,2018-11-01,AWAY,MIL,113,BOS,117,LOSS,41,85,.482,9,29,.310,22,30,.733,8,37,45,20,8,3,14,20,41,92,.446,24,55,.436,11,13,.846,8,34,42,30,5,8,13,23
0,2019,2018-11-01,HOME,BOS,117,MIL,113,WIN,41,92,.446,24,55,.436,11,13,.846,8,34,42,30,5,8,13,23,41,85,.482,9,29,.310,22,30,.733,8,37,45,20,8,3,14,20
