,SEASON,DATE,HOME/AWAY,TEAM,PTS,TEAM_OPP,PTS_OPP,WIN/LOSS,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_OPP,FGA_OPP,FG_PCT_OPP,FG3_OPP,FG3A_OPP,FG3_PCT_OPP,FT_OPP,FTA_OPP,FT_PCT_OPP,ORB_OPP,DRB_OPP,TRB_OPP,AST_OPP,STL_OPP,BLK_OPP,TOV_OPP,PF_OPP
0,2021,2021-02-01,AWAY,LAL,107,ATL,99,WIN,40,77,.519,7,23,.304,20,24,.833,4,27,31,24,10,7,13,20,37,78,.474,11,29,.379,14,17,.824,6,30,36,27,8,3,19,21
0,2021,2021-02-01,HOME,ATL,99,LAL,107,LOSS,37,78,.474,11,29,.379,14,17,.824,6,30,36,27,8,3,19,21,40,77,.519,7,23,.304,20,24,.833,4,27,31,24,10,7,13,20
0,2021,2021-02-01,AWAY,CHO,129,MIA,121,WIN,43,95,.453,21,41,.512,22,26,.846,13,31,44,31,6,4,12,22,43,91,.473,19,46,.413,16,25,.640,10,38,48,28,8,7,17,26
0,2021,2021-02-01,HOME,MIA,121,CHO,129,LOSS,43,91,.473,19,46,.413,16,25,.640,10,38,48,28,8,7,17,26,43,95,.453,21,41,.512,22,26,.846,13,31,44,31,6,4,12,22
0,2021,2021-02-01,AWAY,NYK,102,CHI,110,LOSS,37,87,.425,6,29,.207,22,26,.846,11,34,45,21,6,6,12,19,42,88,.477,11,34,.324,15,20,.750,7,33,40,30,3,1,12,19
0,2021,2021-02-01,HOME,CHI,110,NYK,102,WIN,42,88,.477,11,34,.324,15,20,.750,7,33,40,30,3,1,12,19,37,87,.425,6,29,.207,22,26,.846,11,34,45,21,6,6,12,19
0,2021,2021-02-01,AWAY,MIN,98,CLE,100,LOSS,40,102,.392,11,38,.289,7,11,.636,15,30,45,20,4,1,8,21,35,84,.417,7,22,.318,23,31,.742,15,37,52,26,4,12,15,12
0,2021,2021-02-01,HOME,CLE,100,MIN,98,WIN,35,84,.417,7,22,.318,23,31,.742,15,37,52,26,4,12,15,12,40,102,.392,11,38,.289,7,11,.636,15,30,45,20,4,1,8,21
0,2021,2021-02-01,AWAY,POR,106,MIL,134,LOSS,39,104,.375,15,42,.357,13,13,1.000,14,31,45,19,8,6,11,10,53,96,.552,21,42,.500,7,12,.583,9,44,53,38,10,7,13,13
0,2021,2021-02-01,HOME,MIL,134,POR,106,WIN,53,96,.552,21,42,.500,7,12,.583,9,44,53,38,10,7,13,13,39,104,.375,15,42,.357,13,13,1.000,14,31,45,19,8,6,11,10
0,2021,2021-02-01,AWAY,SAC,118,NOP,109,WIN,42,88,.477,14,43,.326,20,26,.769,13,39,52,31,3,8,20,18,40,101,.396,9,30,.300,20,24,.833,17,29,46,22,11,5,10,22
0,2021,2021-02-01,HOME,NOP,109,SAC,118,LOSS,40,101,.396,9,30,.300,20,24,.833,17,29,46,22,11,5,10,22,42,88,.477,14,43,.326,20,26,.769,13,39,52,31,3,8,20,18
0,2021,2021-02-01,AWAY,HOU,136,OKC,106,WIN,49,102,.480,28,52,.538,10,11,.909,10,40,50,30,8,6,13,20,39,89,.438,13,34,.382,15,19,.789,8,37,45,21,8,8,17,13
0,2021,2021-02-01,HOME,OKC,106,HOU,136,LOSS,39,89,.438,13,34,.382,15,19,.789,8,37,45,21,8,8,17,13,49,102,.480,28,52,.538,10,11,.909,10,40,50,30,8,6,13,20
0,2021,2021-02-01,AWAY,PHO,109,DAL,108,WIN,43,92,.467,13,35,.371,10,12,.833,11,34,45,19,7,3,16,24,37,86,.430,10,32,.313,24,25,.960,7,35,42,16,9,7,14,17
0,2021,2021-02-01,HOME,DAL,108,PHO,109,LOSS,37,86,.430,10,32,.313,24,25,.960,7,35,42,16,9,7,14,17,43,92,.467,13,35,.371,10,12,.833,11,34,45,19,7,3,16,24
0,2021,2021-02-01,AWAY,MEM,133,SAS,102,WIN,52,93,.559,15,30,.500,14,18,.778,10,43,53,37,11,11,11,16,37,89,.416,13,37,.351,15,22,.682,10,32,42,28,8,7,15,13
0,2021,2021-02-01,HOME,SAS,102,MEM,133,LOSS,37,89,.416,13,37,.351,15,22,.682,10,32,42,28,8,7,15,13,52,93,.559,15,30,.500,14,18,.778,10,43,53,37,11,11,11,16
0,2021,2021-02-02,AWAY,TOR,123,ORL,108,WIN,40,83,.482,20,45,.444,23,25,.920,6,34,40,32,14,4,11,18,41,89,.461,14,38,.368,12,14,.857,9,37,46,24,4,4,17,22
0,2021,2021-02-02,HOME,ORL,108,TOR,123,LOSS,41,89,.461,14,38,.368,12,14,.857,9,37,46,24,4,4,17,22,40,83,.482,20,45,.444,23,25,.920,6,34,40,32,14,4,11,18
